identifier|category|name
CAQ|Stationary|Power Mac G3 Minitower
CAS|Stationary|Power Mac G3 Minitower
CAT|Stationary|Power Mac G3 Minitower
CAU|Stationary|Power Mac G3 Minitower
CAV|Stationary|Power Mac G3 Minitower
CAW|Stationary|Power Mac G3 Minitower
CAX|Stationary|Power Mac G3 Minitower
CAY|Stationary|Power Mac G3 Minitower
CAZ|Stationary|Power Mac G3 Minitower
CB0|Stationary|Power Mac G3 Minitower
CBA|Stationary|Power Mac G3 Minitower
CBB|Stationary|Power Mac G3 Minitower
CBC|Stationary|Power Mac G3 Minitower
CBD|Stationary|Power Mac G3 Minitower
CBE|Stationary|Power Mac G3 Minitower
CBF|Stationary|Power Mac G3 Minitower
CBG|Stationary|Power Mac G3 Minitower
CBH|Stationary|Power Mac G3 Minitower
CBJ|Stationary|Power Mac G3 Minitower
CBK|Stationary|Power Mac G3 Minitower
CBL|Stationary|Power Mac G3 Minitower
CBM|Stationary|Power Mac G3 Minitower
CBN|Stationary|Power Mac G3 Minitower
CBP|Stationary|Power Mac G3 Minitower
CBQ|Stationary|Power Mac G3 Minitower
CBR|Stationary|Power Mac G3 Minitower
CBS|Stationary|Power Mac G3 Minitower
CBT|Stationary|Power Mac G3 Minitower
CBU|Stationary|Power Mac G3 Minitower
CBV|Stationary|Power Mac G3 Minitower
CBW|Stationary|Power Mac G3 Minitower
CBX|Stationary|Power Mac G3 Minitower
CBY|Stationary|Power Mac G3 Minitower
CBZ|Stationary|Power Mac G3 Minitower
CC0|Stationary|Power Mac G3 Minitower
CCA|Stationary|Power Mac G3 Minitower
CCB|Stationary|Power Mac G3 Minitower
CCC|Stationary|Power Mac G3 Minitower
CCD|Stationary|Power Mac G3 Minitower
CCE|Stationary|Power Mac G3 Minitower
CCF|Stationary|Power Mac G3 Minitower
CCG|Stationary|Power Mac G3 Minitower
CCH|Stationary|Power Mac G3 Minitower
CCJ|Stationary|Power Mac G3 Minitower
CCK|Stationary|Power Mac G3 Minitower
CCL|Stationary|Power Mac G3 Minitower
CCM|Stationary|Power Mac G3 Minitower
CCN|Stationary|Power Mac G3 Minitower
CCP|Stationary|Power Mac G3 Minitower
CCQ|Stationary|Power Mac G3 Minitower
CCR|Stationary|Power Mac G3 Minitower
CCS|Stationary|Power Mac G3 Minitower
CCT|Stationary|Power Mac G3 Minitower
CCU|Stationary|Power Mac G3 Minitower
CCV|Stationary|Power Mac G3 Minitower
CCW|Stationary|Power Mac G3 Minitower
CCX|Stationary|Power Mac G3 Minitower
CCY|Stationary|Power Mac G3 Minitower
CCZ|Stationary|Power Mac G3 Minitower
CD0|Stationary|Power Mac G3 Minitower
CD1|Stationary|Power Mac G3 Minitower
CD2|Stationary|Power Mac G3 Minitower
CD3|Stationary|Power Mac G3 Minitower
CD6|Stationary|Power Mac G3 Minitower
CDA|Stationary|Power Mac G3 Minitower
CDB|Stationary|Power Mac G3 Minitower
CDC|Stationary|Power Mac G3 Minitower
CDD|Stationary|Power Mac G3 Minitower
CDE|Stationary|Power Mac G3 Minitower
CDF|Stationary|Power Mac G3 Minitower
CDG|Stationary|Power Mac G3 Minitower
CDH|Stationary|Power Mac G3 Minitower
CDJ|Stationary|Power Mac G3 Minitower
CDK|Stationary|Power Mac G3 Minitower
CDL|Stationary|Power Mac G3 Minitower
CDM|Stationary|Power Mac G3 Minitower
CDN|Stationary|Power Mac G3 Minitower
CDP|Stationary|Power Mac G3 Minitower
CDQ|Stationary|Power Mac G3 Minitower
CDR|Stationary|Power Mac G3 Minitower
CDS|Stationary|Power Mac G3 Minitower
CDT|Stationary|Power Mac G3 Minitower
CDU|Stationary|Power Mac G3 Minitower
CDV|Stationary|Power Mac G3 Minitower
CDW|Stationary|Power Mac G3 Minitower
CDX|Stationary|Power Mac G3 Minitower
CDY|Stationary|Power Mac G3 Minitower
CDZ|Stationary|Power Mac G3 Minitower
CE0|Stationary|Power Mac G3 Minitower
CE4|Stationary|Power Mac G3 Minitower
CE5|Stationary|Power Mac G3 Minitower
CE6|Stationary|Power Mac G3 Minitower
CE7|Stationary|Power Mac G3 Minitower
CE8|Stationary|Power Mac G3 Minitower
CE9|Stationary|Power Mac G3 Minitower
CEA|Stationary|Power Mac G3 Minitower
CEB|Stationary|Power Mac G3 Minitower
CEC|Stationary|Power Mac G3 Minitower
CED|Stationary|Power Mac G3 Minitower
CEE|Stationary|Power Mac G3 Minitower
CEF|Stationary|Power Mac G3 Minitower
CEG|Stationary|Power Mac G3 Minitower
CEH|Stationary|Power Mac G3 Minitower
CEJ|Stationary|Power Mac G3 Minitower
CEK|Stationary|Power Mac G3 Minitower
CEL|Stationary|Power Mac G3 Minitower
CEM|Stationary|Power Mac G3 Minitower
CEN|Stationary|Power Mac G3 Minitower
CEP|Stationary|Power Mac G3 Minitower
CEQ|Stationary|Power Mac G3 Minitower
CER|Stationary|Power Mac G3 Minitower
CES|Stationary|Power Mac G3 Minitower
CET|Stationary|Power Mac G3 Minitower
CEU|Stationary|Power Mac G3 Minitower
CEV|Stationary|Power Mac G3 Minitower
CEW|Stationary|Power Mac G3 Minitower
CEX|Stationary|Power Mac G3 Minitower
CEY|Stationary|Power Mac G3 Minitower
CEZ|Stationary|Power Mac G3 Minitower
CF0|Stationary|Power Mac G3 Minitower
CF1|Stationary|Power Mac G3 Minitower
CF2|Stationary|Power Mac G3 Minitower
CF3|Stationary|Power Mac G3 Minitower
CF4|Stationary|Power Mac G3 Minitower
CF5|Stationary|Power Mac G3 Minitower
CF6|Stationary|Power Mac G3 Minitower
CF7|Stationary|Power Mac G3 Minitower
CF8|Stationary|Power Mac G3 Minitower
CF9|Stationary|Power Mac G3 Minitower
CFA|Stationary|Power Mac G3 Minitower
CFB|Stationary|Power Mac G3 Minitower
CFC|Stationary|Power Mac G3 Minitower
CFD|Stationary|Power Mac G3 Minitower
CFE|Stationary|Power Mac G3 Minitower
CFF|Stationary|Power Mac G3 Minitower
CFG|Stationary|Power Mac G3 Minitower
CFH|Stationary|Power Mac G3 Minitower
CFJ|Stationary|Power Mac G3 Minitower
CFK|Stationary|Power Mac G3 Minitower
CFL|Stationary|Power Mac G3 Minitower
CFM|Stationary|Power Mac G3 Minitower
CFN|Stationary|Power Mac G3 Minitower
CFP|Stationary|Power Mac G3 Minitower
CFQ|Stationary|Power Mac G3 Minitower
CFR|Stationary|Power Mac G3 Minitower
CFS|Stationary|Power Mac G3 Minitower
CFT|Stationary|Power Mac G3 Minitower
CFU|Stationary|Power Mac G3 Minitower
CFV|Stationary|Power Mac G3 Minitower
CFW|Stationary|Power Mac G3 Minitower
CFX|Stationary|Power Mac G3 Minitower
CFY|Stationary|Power Mac G3 Minitower
CFZ|Stationary|Power Mac G3 Minitower
CG0|Stationary|Power Mac G3 Minitower
CG1|Stationary|Power Mac G3 Minitower
CG2|Stationary|Power Mac G3 Minitower
CG3|Stationary|Power Mac G3 Minitower
CG4|Stationary|Power Mac G3 Minitower
CG6|Stationary|Power Mac G3 Minitower
CG7|Stationary|Power Mac G3 Minitower
CG8|Stationary|Power Mac G3 Minitower
CG9|Stationary|Power Mac G3 Minitower
CGA|Stationary|Power Mac G3 Minitower
CGB|Stationary|Power Mac G3 Minitower
CGC|Stationary|Power Mac G3 Minitower
CGD|Stationary|Power Mac G3 Minitower
CGE|Stationary|Power Mac G3 Minitower
CGF|Stationary|Power Mac G3 Minitower
CGG|Stationary|Power Mac G3 Minitower
CGH|Stationary|Power Mac G3 Minitower
CGJ|Stationary|Power Mac G3 Minitower
CGK|Stationary|Power Mac G3 Minitower
CGL|Stationary|Power Mac G3 Minitower
CGM|Stationary|Power Mac G3 Minitower
CGN|Stationary|Power Mac G3 Minitower
CGP|Stationary|Power Mac G3 Minitower
CGQ|Stationary|Power Mac G3 Minitower
CGR|Stationary|Power Mac G3 Minitower
CGS|Stationary|Power Mac G3 Minitower
CGT|Stationary|Power Mac G3 Minitower
CGU|Stationary|Power Mac G3 Minitower
CGV|Stationary|Power Mac G3 Minitower
CGW|Stationary|Power Mac G3 Minitower
CGX|Stationary|Power Mac G3 Minitower
CJ1|Laptop|MacBook Pro (15-inch, Mid 2009)
CJ6|Laptop|MacBook (13-inch, Late 2009)
CJ7|Stationary|iMac DV (Slot Loading)
CJ8|Laptop|MacBook (13-inch, Late 2009)
CJ9|Laptop|MacBook (13-inch, Late 2009)
CJR|Stationary|Power Mac G3 Minitower
CJS|Stationary|Power Mac G3 Minitower
CJT|Stationary|Power Mac G3 Minitower
CJU|Stationary|Power Mac G3 Minitower
CJV|Stationary|Power Mac G3 Minitower
CJW|Stationary|Power Mac G3 Minitower
CJX|Stationary|Power Mac G3 Minitower
CJY|Stationary|Power Mac G3 Minitower
CJZ|Stationary|Power Mac G3 Minitower
CK0|Stationary|Power Mac G3 Minitower
CK1|Stationary|Power Mac G3 Minitower
CK2|Stationary|Power Mac G3 Minitower
CK3|Stationary|Power Mac G3 Minitower
CK4|Stationary|Power Mac G3 Minitower
CK5|Stationary|Power Mac G3 Minitower
CK6|Stationary|Power Mac G3 Minitower
CK7|Stationary|Power Mac G3 Minitower
CK8|Stationary|Power Mac G3 Minitower
CK9|Stationary|Power Mac G3 Minitower
CKA|Stationary|Power Mac G3 Minitower
CKB|Stationary|Power Mac G3 Minitower
CKC|Stationary|Power Mac G3 Minitower
CKD|Stationary|Power Mac G3 Minitower
CKE|Stationary|Power Mac G3 Minitower
CKF|Stationary|Power Mac G3 Minitower
CKG|Stationary|Power Mac G3 Minitower
CKH|Stationary|Power Mac G3 Minitower
CKJ|Stationary|Power Mac G3 Minitower
CKK|Stationary|Power Mac G3 Minitower
CKL|Stationary|Power Mac G3 Minitower
CKM|Stationary|Power Mac G3 Minitower
CKN|Stationary|Power Mac G3 Minitower
CKP|Stationary|Power Mac G3 Minitower
CKQ|Stationary|Power Mac G3 Minitower
CKR|Stationary|Power Mac G3 Minitower
CKS|Stationary|Power Mac G3 Minitower
CKT|Stationary|Power Mac G3 Minitower
CKU|Stationary|Power Mac G3 Minitower
CKV|Stationary|Power Mac G3 Minitower
CKW|Stationary|Power Mac G3 Minitower
CKX|Stationary|Power Mac G3 Minitower
CKY|Stationary|Power Mac G3 Minitower
CKZ|Stationary|Power Mac G3 Minitower
CL0|Stationary|Power Mac G3 Minitower
CL1|Stationary|Power Mac G3 Minitower
CL2|Stationary|Power Mac G3 Minitower
CL3|Stationary|Power Mac G3 Minitower
CL4|Stationary|Power Mac G3 Minitower
CL5|Stationary|Power Mac G3 Minitower
CL6|Stationary|Power Mac G3 Minitower
CL7|Stationary|Power Mac G3 Minitower
CL8|Stationary|Power Mac G3 Minitower
CL9|Stationary|Power Mac G3 Minitower
CLA|Stationary|Power Mac G3 Minitower
CLB|Stationary|Power Mac G3 Minitower
CLC|Stationary|Power Mac G3 Minitower
CLD|Stationary|Power Mac G3 Minitower
CLE|Stationary|Power Mac G3 Minitower
CLF|Stationary|Power Mac G3 Minitower
CLG|Stationary|Power Mac G3 Minitower
CLH|Stationary|Power Mac G3 Minitower
CLJ|Stationary|Power Mac G3 Minitower
CLK|Stationary|Power Mac G3 Minitower
CLL|Stationary|Power Mac G3 Minitower
CLM|Stationary|Power Mac G3 Minitower
CLN|Stationary|Power Mac G3 Minitower
CLP|Stationary|Power Mac G3 Minitower
CLQ|Stationary|Power Mac G3 Minitower
CLR|Stationary|Power Mac G3 Minitower
CLS|Stationary|Power Mac G3 Minitower
CLT|Stationary|Power Mac G3 Minitower
CLU|Stationary|Power Mac G3 Minitower
CLV|Stationary|Power Mac G3 Minitower
CLW|Stationary|Power Mac G3 Minitower
CLX|Stationary|Power Mac G3 Minitower
CLY|Stationary|Power Mac G3 Minitower
CLZ|Stationary|Power Mac G3 Minitower
CM0|Stationary|Power Mac G3 Minitower
CM1|Stationary|Power Mac G3 Minitower
CM2|Stationary|Power Mac G3 Minitower
CM3|Stationary|Power Mac G3 Minitower
CM4|Stationary|Power Mac G3 Minitower
CM5|Stationary|Power Mac G3 Minitower
CM6|Stationary|Power Mac G3 Minitower
CM7|Stationary|Power Mac G3 Minitower
CM8|Stationary|Power Mac G3 Minitower
CM9|Stationary|Power Mac G3 Minitower
CMA|Stationary|Power Mac G3 Minitower
CMB|Stationary|Power Mac G3 Minitower
CMC|Stationary|Power Mac G3 Minitower
CMD|Stationary|Power Mac G3 Minitower
CME|Stationary|Power Mac G3 Minitower
CMF|Stationary|Power Mac G3 Minitower
CMG|Stationary|Power Mac G3 Minitower
CMH|Stationary|Power Mac G3 Minitower
CMJ|Stationary|Power Mac G3 Minitower
CMK|Stationary|Power Mac G3 Minitower
CML|Stationary|Power Mac G3 Minitower
CMM|Stationary|Power Mac G3 Minitower
CMN|Stationary|Power Mac G3 Minitower
CMP|Stationary|Power Mac G3 Minitower
CMQ|Stationary|Power Mac G3 Minitower
CMR|Stationary|Power Mac G3 Minitower
CMS|Stationary|Power Mac G3 Minitower
CMT|Stationary|Power Mac G3 Minitower
CMU|Stationary|Power Mac G3 Minitower
CMV|Stationary|Power Mac G3 Minitower
CMW|Stationary|Power Mac G3 Minitower
CMX|Stationary|Power Mac G3 Minitower
CMY|Stationary|Power Mac G3 Minitower
CMZ|Stationary|Power Mac G3 Minitower
CNA|Stationary|Power Mac G3 Minitower
CNB|Stationary|Power Mac G3 Minitower
CNC|Stationary|Power Mac G3 Minitower
CND|Stationary|Power Mac G3 Minitower
CNE|Stationary|Power Mac G3 Minitower
CNF|Stationary|Power Mac G3 Minitower
CNG|Stationary|Power Mac G3 Minitower
CNH|Stationary|Power Mac G3 Minitower
CNJ|Stationary|Power Mac G3 Minitower
CNK|Stationary|Power Mac G3 Minitower
CNL|Stationary|Power Mac G3 Minitower
CNM|Stationary|Power Mac G3 Minitower
CNN|Stationary|Power Mac G3 Minitower
CNP|Stationary|Power Mac G3 Minitower
CNQ|Stationary|Power Mac G3 Minitower
CNR|Stationary|Power Mac G3 Minitower
CNS|Stationary|Power Mac G3 Minitower
CNU|Stationary|Power Mac G3 Minitower
CNV|Stationary|Power Mac G3 Minitower
CNW|Stationary|Power Mac G3 Minitower
CNX|Stationary|Power Mac G3 Minitower
CNY|Stationary|Power Mac G3 Minitower
CNZ|Stationary|Power Mac G3 Minitower
CP0|Stationary|Power Mac G3 Minitower
CP1|Stationary|Power Mac G3 Minitower
CP2|Stationary|Power Mac G3 Minitower
CP3|Stationary|Power Mac G3 Minitower
CP4|Stationary|Power Mac G3 Minitower
CP5|Stationary|Power Mac G3 Minitower
CP6|Stationary|Power Mac G3 Minitower
CP7|Stationary|Power Mac G3 Minitower
CP8|Stationary|Power Mac G3 Minitower
CP9|Stationary|Power Mac G3 Minitower
CPA|Stationary|Power Mac G3 Minitower
CPB|Stationary|Power Mac G3 Minitower
CPC|Stationary|Power Mac G3 Minitower
CPD|Stationary|Power Mac G3 Minitower
CPE|Stationary|Power Mac G3 Minitower
CPF|Stationary|Power Mac G3 Minitower
CPG|Stationary|Power Mac G3 Minitower
CPH|Stationary|Power Mac G3 Minitower
CPJ|Stationary|Power Mac G3 Minitower
CPK|Stationary|Power Mac G3 Minitower
CPL|Stationary|Power Mac G3 Minitower
CPM|Stationary|Power Mac G3 Minitower
CPN|Stationary|Power Mac G3 Minitower
CPP|Stationary|Power Mac G3 Minitower
CPQ|Stationary|Power Mac G3 Minitower
CPR|Stationary|Power Mac G3 Minitower
CPS|Stationary|Power Mac G3 Minitower
CPT|Stationary|Power Mac G3 Minitower
CPU|Stationary|Power Mac G3 Minitower
CPV|Stationary|Power Mac G3 Minitower
CPW|Stationary|Power Mac G3 Minitower
CPX|Stationary|Power Mac G3 Minitower
CPY|Stationary|Power Mac G3 Minitower
CPZ|Stationary|Power Mac G3 Minitower
CQ0|Stationary|Power Mac G3 Minitower
CQ1|Stationary|Power Mac G3 Minitower
CQ2|Stationary|Power Mac G3 Minitower
CQ3|Stationary|Power Mac G3 Minitower
CQ4|Stationary|Power Mac G3 Minitower
CQ5|Stationary|Power Mac G3 Minitower
CQ6|Stationary|Power Mac G3 Minitower
CQ7|Stationary|Power Mac G3 Minitower
CQ8|Stationary|Power Mac G3 Minitower
CQ9|Stationary|Power Mac G3 Minitower
CQA|Stationary|Power Mac G3 Minitower
CQB|Stationary|Power Mac G3 Minitower
CQC|Stationary|Power Mac G3 Minitower
CQD|Stationary|Power Mac G3 Minitower
CQE|Stationary|Power Mac G3 Minitower
CQF|Stationary|Power Mac G3 Minitower
CQG|Stationary|Power Mac G3 Minitower
CQH|Stationary|Power Mac G3 Minitower
CQJ|Stationary|Power Mac G3 Minitower
CQK|Stationary|Power Mac G3 Minitower
CQL|Stationary|Power Mac G3 Minitower
CQM|Stationary|Power Mac G3 Minitower
CQN|Stationary|Power Mac G3 Minitower
CQP|Stationary|Power Mac G3 Minitower
CQQ|Stationary|Power Mac G3 Minitower
CQR|Stationary|Power Mac G3 Minitower
CQS|Stationary|Power Mac G3 Minitower
CQT|Stationary|Power Mac G3 Minitower
CQU|Stationary|Power Mac G3 Minitower
CQV|Stationary|Power Mac G3 Minitower
CQW|Stationary|Power Mac G3 Minitower
CQX|Stationary|Power Mac G3 Minitower
CQY|Stationary|Power Mac G3 Minitower
CQZ|Stationary|Power Mac G3 Minitower
CR0|Stationary|Power Mac G3 Minitower
CR1|Stationary|Power Mac G3 Minitower
CR2|Stationary|Power Mac G3 Minitower
CR3|Stationary|Power Mac G3 Minitower
CR4|Stationary|Power Mac G3 Minitower
CR5|Stationary|Power Mac G3 Minitower
CR6|Stationary|Power Mac G3 Minitower
CR7|Stationary|Power Mac G3 Minitower
CR8|Stationary|Power Mac G3 Minitower
CR9|Stationary|Power Mac G3 Minitower
CRA|Stationary|Power Mac G3 Minitower
CRB|Stationary|Power Mac G3 Minitower
CRC|Stationary|Power Mac G3 Minitower
CRD|Stationary|Power Mac G3 Minitower
CRE|Stationary|Power Mac G3 Minitower
CRF|Stationary|Power Mac G3 Minitower
CRG|Stationary|Power Mac G3 Minitower
CRH|Stationary|Power Mac G3 Minitower
CRJ|Stationary|Power Mac G3 Minitower
CRK|Stationary|Power Mac G3 Minitower
CRL|Stationary|Power Mac G3 Desktop
CRM|Stationary|Power Mac G3 Desktop
CRN|Stationary|Power Mac G3 Minitower
CRP|Stationary|Power Mac G3 Minitower
CRQ|Stationary|Power Mac G3 Minitower
CRR|Stationary|Power Mac G3 Minitower
CRS|Stationary|Power Mac G3 Desktop
CRT|Stationary|Power Mac G3 Desktop
CRZ|Server|Xserve(Early 2009)
CS0|Server|Xserve(Early 2009)
CS1|Laptop|MacBook Pro (15-inch, Mid 2009)
CS6|Stationary|Mac mini (Late 2009)
CS7|Laptop|MacBook Pro (15-inch, 2.53GHz, Mid 2009)
CS8|Laptop|MacBook Pro (15-inch, 2.53GHz, Mid 2009)
CS9|Laptop|MacBook Pro (15-inch, 2.53GHz, Mid 2009)
CSA|Laptop|MacBook Pro (15-inch, Mid 2009)
CSB|Laptop|MacBook Pro (15-inch, Mid 2009)
CSC|Laptop|MacBook Pro (15-inch, Mid 2009)
CSD|Laptop|MacBook Pro (15-inch, Mid 2009)
CSE|Laptop|MacBook Pro (15-inch, Mid 2009)
CSF|Laptop|MacBook Pro (15-inch, Mid 2009)
CSG|Laptop|MacBook Pro (15-inch, Mid 2009)
CSH|Laptop|MacBook Pro (15-inch, Mid 2009)
CSJ|Laptop|MacBook Pro (15-inch, Mid 2009)
CSU|Stationary|Power Mac G3 Minitower
CT0|Stationary|Power Mac G3 All-In-One
CT5|Display|Apple Studio Display 21 inch, CRT
CT6|Display|Apple Studio Display 21 inch, CRT
CT9|Stationary|Power Mac G3 All-In-One
CTA|Stationary|Power Mac G3 All-In-One
CTF|Stationary|Power Mac G3 Minitower
CTH|Stationary|Power Mac G3 Minitower
CUQ|Stationary|Power Mac G3 Minitower
CV6|Stationary|Power Mac G3 Desktop
CV9|Stationary|Power Mac G3 Minitower
CVM|Stationary|Power Mac G3 Minitower
CVP|Laptop|MacBook Pro (15-inch, Mid 2009)
CVS|Display|Apple Studio Display 17 inch, CRT
CVT|Display|Apple Studio Display 17 inch, CRT
CVY|Laptop|MacBook Pro (15-inch, Mid 2009)
CW5|Stationary|Power Mac G3 Minitower
CW6|Stationary|Power Mac G3 Desktop
CXK|Stationary|Power Mac G3 Minitower
CXM|Stationary|Power Mac G3 Minitower
CXN|Stationary|Power Mac G3 Minitower
CXS|Stationary|Power Mac G3 Desktop
CXX|Stationary|Power Mac G3 Desktop
CXY|Stationary|Power Mac G3 Desktop
CY3|Stationary|Power Mac G3 Desktop
CY4|Stationary|Power Mac G3 Desktop
CY5|Stationary|Power Mac G3 Minitower
CY6|Stationary|Power Mac G3 Minitower
CY7|Stationary|Power Mac G3 Minitower
CY8|Stationary|iMac (21.5-inch, Late 2009)
CY9|Stationary|Power Mac G3 Desktop
CYA|Stationary|Power Mac G3 Desktop
CYB|Stationary|iMac (27-inch, Late 2009)
CYC|Stationary|iMac (27-inch, Late 2009)
CZ2|Stationary|Mac Pro (Early 2009)
CZ3|Stationary|Mac Pro (Early 2009)
CZ4|Stationary|Mac Pro (Early 2009)
D2H|Stationary|Power Mac G3 All-In-One
D2J|Stationary|Power Mac G3 Desktop
D2K|Stationary|Power Mac G3 Minitower
D3Q|Stationary|Power Mac G3 Minitower
D4V|Stationary|iMac (27-inch, Late 2009)
D5G|Server|Xserve(Early 2009)
D5J|Stationary|Power Mac G3 Minitower
D5N|Stationary|Power Mac G3 Desktop
D5V|Stationary|Power Mac G3 Minitower
D5W|Stationary|Power Mac G3 Desktop
D5X|Stationary|Power Mac G3 Desktop
D68|Stationary|Power Mac G3 Desktop
D6C|Display|Apple Studio Display 21 inch, CRT
D6G|Stationary|Power Mac G3 Minitower
D6K|Stationary|Power Mac G3 Desktop
D6L|Stationary|Power Mac G3 Desktop
D6M|Stationary|Power Mac G3 Minitower
D6P|Stationary|Power Mac G3 Minitower
D6Q|Stationary|Power Mac G3 Minitower
D6S|Stationary|Power Mac G3 Minitower
D6T|Stationary|Power Mac G3 Minitower
D6X|Display|Apple Studio Display 21 inch, CRT
D76|Stationary|Power Mac G3 Desktop
D7C|Stationary|Power Mac G3 Minitower
D7V|Stationary|Power Mac G3 Minitower
D7W|Stationary|Power Mac G3 Minitower
D8G|Stationary|Power Mac G3 Minitower
D8V|Stationary|Power Mac G3 Minitower
D8X|Stationary|Power Mac G3 Desktop
D8Y|Stationary|Power Mac G3 All-In-One
D8Z|Stationary|Power Mac G3 All-In-One
D9B|Stationary|Power Mac G3 Desktop
D9G|Stationary|Power Mac G3 Desktop
D9H|Stationary|Power Mac G3 Minitower
D9J|Stationary|Power Mac G3 Desktop
D9K|Stationary|Power Mac G3 Minitower
D9M|Stationary|Power Mac G3 Minitower
D9N|Stationary|Power Mac G3 Minitower
DAS|Stationary|iMac (21.5-inch, Mid 2010)
DB5|Stationary|iMac (27-inch, Mid 2010)
DB6|Stationary|iMac (27-inch, Mid 2010)
DB7|Stationary|iMac (21.5-inch, Mid 2010)
DC79|Laptop|MacBook Pro (17-inch, Mid 2010)
DC7C|Laptop|MacBook Pro (17-inch, Mid 2010)
DCMJ|Mp3Player|iPod shuffle (4th generation)
DCMK|Mp3Player|iPod shuffle (4th generation)
DCMN|Mp3Player|iPod nano (6th generation)
DCMP|Mp3Player|iPod nano (6th generation)
DCP7|Mp3Player|iPod touch (4th generation)
DCP9|Mp3Player|iPod touch (4th generation)
DCPC|Mp3Player|iPod touch (4th generation)
DCV9|Laptop|MacBook Pro (17-inch, Mid 2010)
DCVC|Laptop|MacBook Pro (17-inch, Mid 2010)
DD6H|Stationary|Mac mini (Mid 2010)
DD6K|Stationary|Mac mini Server (Mid 2010)
DD6L|Stationary|Mac mini (Mid 2010)
DD6N|Stationary|Mac mini Server (Mid 2010)
DD6Y|Laptop|MacBook Pro (17-inch, Mid 2010)
DDHM|Laptop|MacBook Pro (17-inch, Mid 2010)
DDHN|Laptop|MacBook Pro (17-inch, Mid 2010)
DDJF|Stationary|Mac mini Server (Mid 2010)
DDJT|Laptop|MacBook Pro (17-inch, Mid 2010)
DDJV|Laptop|MacBook Pro (17-inch, Mid 2010)
DDJW|Laptop|MacBook Pro (17-inch, Mid 2010)
DDJX|Laptop|MacBook Pro (17-inch, Mid 2010)
DDJY|Laptop|MacBook Pro (17-inch, Mid 2010)
DDK0|Laptop|MacBook Pro (17-inch, Mid 2010)
DDK1|Laptop|MacBook Pro (17-inch, Mid 2010)
DDK2|Laptop|MacBook Pro (17-inch, Mid 2010)
DDK3|Laptop|MacBook Pro (17-inch, Mid 2010)
DDK4|Laptop|MacBook Pro (17-inch, Mid 2010)
DDM|Stationary|iMac
DDP7|Phone|iPhone 4 (CDMA)
DDP8|Phone|iPhone 4 (CDMA)
DDP9|Phone|iPhone 4 (CDMA)
DDPC|Phone|iPhone 4 (CDMA)
DDQ9|Stationary|Mac mini (Mid 2010)
DDQW|Laptop|MacBook Air (11-inch, Late 2010)
DDQX|Laptop|MacBook Air (11-inch, Late 2010)
DDQY|Laptop|MacBook Air (11-inch, Late 2010)
DDR0|Laptop|MacBook Air (11-inch, Late 2010)
DDR1|Laptop|MacBook Air (13-inch, Late 2010)
DDR2|Laptop|MacBook Air (13-inch, Late 2010)
DDR3|Laptop|MacBook Air (13-inch, Late 2010)
DDR4|Laptop|MacBook Air (13-inch, Late 2010)
DDR5|MediaPlayer|Apple TV (2nd generation)
DDVN|Stationary|Mac mini (Mid 2010)
DDVX|Mp3Player|iPod nano (6th generation)
DDVY|Mp3Player|iPod nano (6th generation)
DDW0|Mp3Player|iPod nano (6th generation)
DDW1|Mp3Player|iPod nano (6th generation)
DDW2|Mp3Player|iPod nano (6th generation)
DDW3|Mp3Player|iPod nano (6th generation)
DDW4|Mp3Player|iPod nano (6th generation)
DDW5|Mp3Player|iPod nano (6th generation)
DDW6|Mp3Player|iPod nano (6th generation)
DDW7|Mp3Player|iPod nano (6th generation)
DDW8|Mp3Player|iPod nano (6th generation)
DDW9|Mp3Player|iPod nano (6th generation)
DF8V|Laptop|MacBook Pro (15-inch, Early 2011)
DF8X|Laptop|MacBook Pro (15-inch, Early 2011)
DF8Y|Laptop|MacBook Pro (15-inch, Early 2011)
DF91|Laptop|MacBook Pro (15-inch, Early 2011)
DF92|Laptop|MacBook Pro (17-inch, Early 2011)
DF93|Laptop|MacBook Pro (17-inch, Early 2011)
DFDK|Stationary|Mac mini (Mid 2010)
DFDM|Mp3Player|iPod shuffle (4th generation)
DFDN|Mp3Player|iPod shuffle (4th generation)
DFDP|Mp3Player|iPod shuffle (4th generation)
DFHW|Tablet|iPad 2
DFHY|Tablet|iPad 2
DFJ0|Tablet|iPad 2
DFJ1|Tablet|iPad 2 Wi-Fi + 3G
DFJ2|Tablet|iPad 2 Wi-Fi + 3G
DFJ3|Tablet|iPad 2 Wi-Fi + 3G
DFN|Stationary|iMac
DFP|Stationary|iMac
DFT|Server|Xserve(Early 2009)
DFU|Server|Xserve(Early 2009)
DFY|Stationary|Power Mac G3 Desktop
DG6|Stationary|Power Mac G3 Minitower
DG7|Stationary|Power Mac G3 Desktop
DGG|Stationary|Power Mac G4 (AGP Graphics)
DH2G|Laptop|MacBook Pro (13-inch, Early 2011)
DH2H|Laptop|MacBook Pro (13-inch, Early 2011)
DH2L|Laptop|MacBook Pro (13-inch, Early 2011)
DH2M|Laptop|MacBook Pro (13-inch, Early 2011)
DHJF|Stationary|iMac (21.5-inch, Mid 2011)
DHJH|MediaPlayer|Apple TV (2nd generation)
DHJK|MediaPlayer|Apple TV (2nd generation)
DHJM|MediaPlayer|Apple TV (2nd generation)
DHJN|Stationary|iMac (21.5-inch, Mid 2011)
DHJP|Stationary|iMac (27-inch, Mid 2011)
DHJQ|Stationary|iMac (27-inch, Mid 2011)
